epoch,train_loss,train_accuracy,grad_norm,test_loss,test_accuracy
1.0,0.7147245522044661,0.2,0.5542322287570666,0.7107436452100241,0.2
2.0,0.6761924843630441,0.6933333333333334,0.5148827870533763,0.6854058308353053,0.6
3.0,0.6393888095186897,0.8266666666666667,0.47409763073821737,0.6631888764499108,0.8
4.0,0.6051685233462906,0.8666666666666667,0.4299656526533968,0.6443670775850869,0.8
5.0,0.5740320580806078,0.8533333333333334,0.3856955166451153,0.6290156834126814,0.8
6.0,0.5462712718105301,0.84,0.3434607211481555,0.6170415001678033,0.8
7.0,0.5221674958363682,0.8266666666666667,0.30377604158967136,0.6083637414567287,0.8
8.0,0.5021221287813709,0.8133333333333334,0.26674311693404607,0.603054717402754,0.8
9.0,0.48622521825320236,0.7866666666666666,0.23321375004297876,0.6006655749328579,0.84
10.0,0.47400086365498584,0.8,0.20512543068024197,0.5999138562669717,0.84
11.0,0.464219878875637,0.8,0.1843114981893077,0.5990836616442823,0.84
12.0,0.4554834516384936,0.7866666666666666,0.17065224287751493,0.5969727641439363,0.84
13.0,0.4470239181695959,0.8,0.16165422472049115,0.5933846516278849,0.84
14.0,0.43869603917653166,0.8,0.154783259946981,0.5888114820362322,0.84
15.0,0.43058754590835274,0.8,0.14881675833111305,0.5839382314827969,0.84
16.0,0.42277639118802274,0.8,0.14340464458279484,0.5792568688767503,0.84
17.0,0.41529252383761944,0.8,0.13837601374280026,0.5749010015843266,0.84
18.0,0.40815477952633394,0.8,0.1334607664910197,0.5707183398423936,0.84
19.0,0.40140317086023203,0.8,0.12835839302929297,0.5664445620694059,0.84
20.0,0.39510749543748425,0.8,0.12290067070960321,0.5618518128826687,0.84
