epoch,train_loss,train_accuracy,grad_norm,test_loss,test_accuracy
1.0,0.8724238508026646,0.38497652582159625,0.6561213491128104,0.9170717241878142,0.3776223776223776
2.0,0.8087415196863755,0.4154929577464789,0.6691526522573688,0.848575971675638,0.40559440559440557
3.0,0.7465860573120128,0.4765258215962441,0.6499398580332396,0.7819874936291386,0.4405594405594406
4.0,0.6890297125368986,0.5258215962441315,0.6074980005405114,0.7204466369253916,0.4965034965034965
5.0,0.6381903495271679,0.6126760563380281,0.5499563908203399,0.6660886322152851,0.5594405594405595
6.0,0.595263272626668,0.6666666666666666,0.4844392764040881,0.620092329858545,0.6223776223776224
7.0,0.5605322082043421,0.7276995305164319,0.41731072350903015,0.5826997457982613,0.6783216783216783
8.0,0.5334552507568426,0.7676056338028169,0.3541801390067393,0.5533158741036125,0.7482517482517482
9.0,0.5129425493730425,0.7910798122065728,0.2995286331476615,0.5308043892571078,0.7762237762237763
10.0,0.49766542932837937,0.8262910798122066,0.256065022451448,0.5137903657160107,0.7972027972027972
11.0,0.4862766794079286,0.8333333333333334,0.22434968847370693,0.500871477199893,0.8181818181818182
12.0,0.47756199459613236,0.8427230046948356,0.20289258368758617,0.49077176909760906,0.8321678321678322
13.0,0.4705349291248967,0.8497652582159625,0.1888344217600906,0.48244706183547315,0.8321678321678322
14.0,0.46447481611092445,0.8591549295774648,0.17903769102394654,0.4751320144984658,0.8391608391608392
15.0,0.45891502807006906,0.8708920187793427,0.1710010871601315,0.4683315539361892,0.8601398601398601
16.0,0.4535939899450447,0.8732394366197183,0.16321639104805283,0.4617689148430484,0.8531468531468531
17.0,0.4484017525730371,0.8849765258215962,0.15503993361377075,0.45532682505041255,0.8531468531468531
18.0,0.443330970581586,0.8755868544600939,0.14638227521077102,0.44899848622832844,0.8741258741258742
19.0,0.43842321683763885,0.8779342723004695,0.13748915008314125,0.44283711165755435,0.8671328671328671
20.0,0.43372260035660865,0.8755868544600939,0.12880829961429796,0.4369098297627527,0.8741258741258742
