model,encoding,ansatz,n_parameters,n_runs,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std
h_rz/simple,h_rz,simple,16,10,0.8373333333333334,0.02651810469364675,0.804,0.051467357508316755,0.4037144242419415,0.029182087623031566,0.43045736321211714,0.04397298841533911
ry/simple,ry,simple,16,10,0.9866666666666667,0.008888888888888872,0.992,0.016865480854231372,0.13058352065641277,0.008797705166666961,0.14274205701406437,0.030319253956815378
ry_rz/strong,ry_rz,strong,24,10,0.96,0.024343224778007405,0.956,0.04402019738458447,0.3876169181196996,0.021472249162374002,0.4037633393118461,0.03374344327546119
logistic/regression,logistic,regression,,10,1.0,0.0,1.0,0.0,0.12432076017446556,0.003193347644754506,0.12598037724770708,0.010022665514599662
